generated_at,digest_text,mode,posts_analyzed
2026-07-13T10:45:42.767336,"Tracking 1336 posts at 7.8 posts/min, sentiment leaning negative (32.9% positive / 34.2% negative). Top story right now: ""OpenAI releases GPT-5 with 10x better reasoning"" (280 pts, 148 comments). Volume anomaly active: 25 vs rolling average 3.4. Possible topic shift detected (drift score 0.43).",fallback,1336
2026-07-13T10:50:42.874148,"Tracking 1339 posts at 25.0 posts/min, sentiment leaning negative (32.9% positive / 34.1% negative). Top story right now: ""OpenAI releases GPT-5 with 10x better reasoning"" (280 pts, 148 comments). Volume anomaly active: 25 vs rolling average 7.8. Possible topic shift detected (drift score 0.66).",fallback,1339
